"Source:","C:/Users/sucha/programming/CanSat/CanSat2.0/Schematics/Circuit/top.sch"
"Date:","31/05/2018 18:29:54"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py"
"Component Count:","36"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Pole4","Pole5","Pole6","Pole7","Pole8"
"","","C1","100 nF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C2","1 uF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C3","0.22 uF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C4","10 uF","device:CP1","Capacitors_Tantalum_SMD:CP_Tantalum_Case-T_EIA-3528-12_Reflow","","","","","","","","","","",""
"","","C5","100 nF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C6","10 uF","device:CP1","Capacitors_Tantalum_SMD:CP_Tantalum_Case-T_EIA-3528-12_Reflow","","","","","","","","","","",""
"","","C7","100 nF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C8","100 nF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C9","100 nF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C10","100 nF","top-rescue:C-RESCUE-top","Capacitors_SMD:C_0805","","","","","","","","","","",""
"","","C11","10 uF","device:CP1","Capacitors_Tantalum_SMD:CP_Tantalum_Case-T_EIA-3528-12_Reflow","","","","","","","","","","",""
"","","D1","LED","top-rescue:LED-RESCUE-top","Diodes_SMD:D_0603","","","","","","","","","","",""
"","","D2","LED","top-rescue:LED-RESCUE-top","Diodes_SMD:D_0603","","","","","","","","","","",""
"","","D3","LED","top-rescue:LED-RESCUE-top","Diodes_SMD:D_0603","","","","","","","","","","",""
"","","D4","LED","top-rescue:LED-RESCUE-top","Diodes_SMD:D_0603","","","","","","","","","","",""
"","","J1","Conn_01x08","conn:Conn_01x08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.27mm","","","","","","","","","","",""
